time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-11T04:29:01.980Z,6.4574,-73.0275,39.55,4.5,mb,,106,2.055,0.77,us,us200025t7,2015-04-11T12:28:20.802Z,"6km WSW of Mogotes, Colombia",earthquake
2015-04-11T04:22:01.950Z,33.9611667,-116.8156667,17.95,2.77,ml,119,14,0.05409,0.2,ci,ci37361456,2015-04-14T20:27:05.020Z,"6km NNW of Cabazon, California",earthquake
2015-04-11T03:59:53.880Z,52.1161,153.056,429.12,4.7,mb,,99,2.999,0.76,us,us200025t4,2015-04-11T12:02:35.516Z,"248km WNW of Ozernovskiy, Russia",earthquake
2015-04-11T03:49:47.260Z,35.495,-84.9895,13.55,2.62,md,25,55,0.08374,0.15,se,se60097601,2015-04-11T12:42:18.342Z,"2km E of Dayton, Tennessee",earthquake
2015-04-11T02:43:46.700Z,19.0065,-67.306,14,2.6,Md,3,334.8,0.56593863,0.15,pr,pr15101002,2015-04-11T10:46:26.534Z,"60km NNW of San Antonio, Puerto Rico",earthquake
2015-04-11T02:08:40.600Z,18.9745,-64.7255,34,2.8,Md,3,338.4,0.84800963,0.25,pr,pr15101001,2015-04-11T10:11:13.799Z,"62km N of Road Town, British Virgin Islands",earthquake
2015-04-11T01:03:34.000Z,19.3653,-155.2027,3,2.7,Ml,,57.6,0.01796631,0.28,hv,hv60892151,2015-04-11T09:06:01.778Z,"8km SSE of Volcano, Hawaii",earthquake
2015-04-10T23:28:28.580Z,47.5546,-70.1913,8.23,2.7,mb_lg,,189,0.909,0.44,us,us200025w2,2015-04-12T03:20:06.149Z,"11km SSW of La Malbaie, Canada",earthquake
2015-04-10T22:54:49.830Z,-7.6544,127.5818,158.88,4.7,mb,,44,3.697,1.08,us,us200025sf,2015-04-11T06:57:48.385Z,"242km ENE of Dili, East Timor",earthquake
2015-04-10T20:53:31.340Z,-1.6795,135.3827,27.3,4.2,mb,,180,3.364,0.58,us,us200025s2,2015-04-11T14:24:39.590Z,"170km ESE of Manokwari, Indonesia",earthquake
2015-04-10T20:05:46.900Z,18.9514,-66.2191,28,2.8,Md,11,241.2,0.55605716,0.25,pr,pr15100004,2015-04-11T14:05:31.040Z,"54km N of Dorado, Puerto Rico",earthquake
2015-04-10T19:28:48.000Z,58.8716,-150.5193,33.8,2.7,ml,,,,0.91,ak,ak11550813,2015-04-11T03:31:15.091Z,"104km SE of Homer, Alaska",earthquake
2015-04-10T18:59:38.790Z,40.4336,-126.1572,19.89,4.7,mwr,,199,1.535,0.86,us,us200025qi,2015-04-11T13:59:10.453Z,"161km W of Ferndale, California",earthquake
2015-04-10T18:49:41.540Z,36.6221,70.8454,217.37,4.3,mb,,70,0.547,1.05,us,us200025qh,2015-04-11T13:40:40.070Z,"26km S of Jarm, Afghanistan",earthquake
2015-04-10T17:26:12.500Z,19.0305,-64.718,38,3.2,Md,4,338.4,0.89651865,0.11,pr,pr15100003,2015-04-11T01:28:41.198Z,"68km N of Road Town, British Virgin Islands",earthquake
2015-04-10T17:25:18.170Z,40.272,-122.0015,10.94,2.85,md,20,60,0.1142,0.08,nc,nc72429586,2015-04-11T05:28:04.361Z,"22km ENE of Red Bluff, California",earthquake
2015-04-10T16:46:10.320Z,36.4678,-97.3352,5,2.8,mb_lg,,68,0.523,0.12,us,us200025mx,2015-04-11T00:26:33.580Z,"20km NNW of Perry, Oklahoma",earthquake
2015-04-10T16:23:04.070Z,-13.8058,65.8874,10,5.5,mb,,39,9.054,0.93,us,us200025ml,2015-04-11T00:25:38.161Z,"Mid-Indian Ridge",earthquake
2015-04-10T15:02:10.800Z,47.2503333,-120.7453333,4.2,3.29,ml,29,59,0.05396,0.3,uw,uw60985702,2015-04-10T19:52:28.681Z,"15km ENE of Cle Elum, Washington",earthquake
2015-04-10T12:59:06.500Z,19.3562,-155.2115,0.2,2.5,Ml,,57.6,0.01796631,0.2,hv,hv60891776,2015-04-10T21:01:38.964Z,"8km SSE of Volcano, Hawaii",earthquake
2015-04-10T11:56:12.000Z,53.0368,159.6694,74.3,4.9,mb,,134,0.615,0.81,us,us200025kn,2015-04-12T03:01:04.227Z,"68km E of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-04-10T11:53:36.400Z,18.9769,-64.6617,29,2.5,Md,3,342,0.88843382,0.14,pr,pr15100001,2015-04-10T19:56:26.537Z,"62km N of Road Town, British Virgin Islands",earthquake
2015-04-10T11:15:01.000Z,61.5844,-146.3381,37.1,3.5,ml,,,,0.72,ak,ak11550464,2015-04-10T21:17:24.314Z,"50km N of Valdez, Alaska",earthquake
2015-04-10T10:07:32.730Z,35.8498,-97.2297,6.41,3.1,mb_lg,,37,0.19,0.76,us,us200025kg,2015-04-11T13:55:12.322Z,"10km SSE of Langston, Oklahoma",earthquake
2015-04-10T09:52:45.760Z,10.9628,125.2267,129.83,4.5,mb,,103,8.797,0.79,us,us200025kf,2015-04-10T17:55:25.549Z,"21km E of San Jose, Philippines",earthquake
2015-04-10T09:42:33.000Z,60.5606,-142.6482,18.3,2.5,ml,,,,0.77,ak,ak11550446,2015-04-10T17:45:01.325Z,"56km NNW of Cape Yakataga, Alaska",earthquake
2015-04-10T09:42:23.830Z,-4.5232,138.2846,35,4.7,mb,,119,6.23,1.48,us,us200025kd,2015-04-10T17:44:54.921Z,"225km ESE of Enarotali, Indonesia",earthquake
2015-04-10T09:15:21.420Z,12.9211,146.144,10,4.7,mb,,95,1.408,0.66,us,us200025kb,2015-04-10T17:17:54.753Z,"151km ESE of Yigo Mayor's Office, Guam",earthquake
2015-04-10T08:54:03.280Z,38.8086667,-122.811,2.16,2.53,md,74,33,0.01228,0.07,nc,nc72429396,2015-04-11T04:25:05.248Z,"5km NW of The Geysers, California",earthquake
2015-04-10T08:28:39.552Z,41.8668,-119.6272,8.1093,2.63,ml,5,107.36,0.152,0.135,nn,nn00489892,2015-04-10T17:41:17.710Z,"71km SE of Lakeview, Oregon",earthquake
2015-04-10T08:24:36.050Z,-5.65,153.2439,17.23,5.1,mb,,101,1.805,0.91,us,us200025k0,2015-04-10T16:27:18.029Z,"132km S of Taron, Papua New Guinea",earthquake
2015-04-10T06:56:26.850Z,2.5114,124.5511,291.06,4.8,mb,,61,3.302,1.25,us,us200025jn,2015-04-10T14:59:02.952Z,"117km NNW of Manado, Indonesia",earthquake
2015-04-10T06:23:13.130Z,28.2428,51.8437,10,4.7,mb,,46,5.101,1.23,us,us200025jj,2015-04-10T14:25:53.247Z,"97km SW of Firuzabad, Iran",earthquake
2015-04-10T06:10:39.100Z,-41.2411,-88.7521,10,4.9,mb,,75,12.25,0.69,us,us200025ji,2015-04-13T16:30:31.040Z,"West Chile Rise",earthquake
2015-04-10T05:25:42.000Z,62.1849,-151.3119,77.1,2.5,ml,,,,0.63,ak,ak11550369,2015-04-10T21:18:00.212Z,"64km WSW of Talkeetna, Alaska",earthquake
2015-04-10T03:28:07.410Z,0.8298,97.0573,29.71,4.3,mb,,143,0.7,0.47,us,us200025j8,2015-04-10T23:21:36.002Z,"197km SSE of Sinabang, Indonesia",earthquake
2015-04-10T03:24:51.850Z,5.4321,126.2089,103.91,4.4,mb,,68,1.743,0.95,us,us200025iy,2015-04-10T23:09:09.738Z,"82km SE of Caburan, Philippines",earthquake
2015-04-10T03:12:23.110Z,-10.4992,123.9585,48.48,4.6,mb,,70,0.799,0.75,us,us200025ir,2015-04-10T22:56:06.202Z,"55km SE of Kupang, Indonesia",earthquake
2015-04-10T03:02:00.400Z,36.5971,-97.6937,6.392,2.7,ml,,68,,0.44,us,us200025lc,2015-04-10T22:43:05.811Z,"23km S of Medford, Oklahoma",earthquake
2015-04-10T02:59:44.300Z,19.6721,-66.0531,36,3.4,Md,9,302.4,1.2693195,0.18,pr,pr15100000,2015-04-10T11:02:26.773Z,"133km N of San Juan, Puerto Rico",earthquake
2015-04-10T01:27:08.200Z,35.8112,-97.2347,6.188,2.7,ml,,66,,0.32,us,us200025l8,2015-04-10T22:19:59.099Z,"14km S of Langston, Oklahoma",earthquake
2015-04-10T00:31:20.770Z,38.5159,73.9659,129.14,4.3,mb,,109,2.894,0.99,us,us200025ie,2015-04-10T08:34:01.734Z,"38km N of Murghob, Tajikistan",earthquake
2015-04-09T23:25:05.000Z,61.8254,-150.0688,35,2.9,ml,,,,0.52,ak,ak11550337,2015-04-10T07:27:36.540Z,"8km N of Willow, Alaska",earthquake
2015-04-09T22:49:42.220Z,14.0871,92.8323,25.76,5.1,mb,,52,2.418,0.78,us,us200025i0,2015-04-10T06:52:18.647Z,"264km N of Bamboo Flat, India",earthquake
2015-04-09T22:35:53.990Z,-1.9959,139.2939,35,4.6,mb,,90,7.098,0.78,us,us200025ht,2015-04-10T06:38:22.377Z,"159km WNW of Abepura, Indonesia",earthquake
2015-04-09T20:28:40.680Z,13.7173,-91.3664,10,4.3,mb,,142,0.863,1.09,us,us200025fx,2015-04-09T23:27:13.994Z,"53km SW of La Gomera, Guatemala",earthquake
2015-04-09T20:02:51.930Z,35.6608333,-83.6153333,3.97,2.6,md,19,50,0.1292,0.35,se,se60097411,2015-04-14T16:18:37.635Z,"11km WSW of Gatlinburg, Tennessee",earthquake
2015-04-09T19:47:56.300Z,36.3294,-97.5249,6.727,2.7,mb_lg,,58,,0.25,us,us200025g0,2015-04-10T03:50:39.104Z,"21km WNW of Perry, Oklahoma",earthquake
2015-04-09T19:26:30.000Z,61.7553,-150.9181,69.2,2.5,ml,,,,0.38,ak,ak11550177,2015-04-10T03:29:02.102Z,"46km W of Willow, Alaska",earthquake
2015-04-09T19:21:45.000Z,36.9188,-98.2455,5,2.5,mb_lg,,237,,0.43,us,us200025fw,2015-04-10T03:24:17.322Z,"20km NNE of Cherokee, Oklahoma",earthquake
2015-04-09T19:15:53.700Z,36.8012,-97.8385,5,2.5,ml,,57,,0.64,us,us200025fq,2015-04-10T03:18:20.532Z,"9km W of Medford, Oklahoma",earthquake
2015-04-09T19:06:36.900Z,36.8033,-97.8397,5.365,2.5,ml,,57,,0.6,us,us200025f7,2015-04-10T03:09:08.233Z,"9km W of Medford, Oklahoma",earthquake
2015-04-09T18:40:31.700Z,36.1254,-97.5508,5,3,ml,,57,,0.45,us,us200025f1,2015-04-10T02:43:04.596Z,"19km NNE of Crescent, Oklahoma",earthquake
2015-04-09T18:20:28.490Z,-6.7201,105.3433,35,4.9,mb,,80,9.997,0.73,us,us200025e5,2015-04-10T07:01:24.926Z,"31km W of Babakantonggoh, Indonesia",earthquake
2015-04-09T15:24:05.000Z,36.9232,-98.2484,3.738,2.5,ml,,118,,0.72,us,us200025dg,2015-04-10T13:37:59.530Z,"21km NNE of Cherokee, Oklahoma",earthquake
2015-04-09T14:12:49.660Z,37.1791,71.8643,172.04,4.6,mb,,56,1.03,0.87,us,us200025cv,2015-04-09T22:15:30.869Z,"9km SSE of Roshtqal'a, Tajikistan",earthquake
2015-04-09T13:00:19.450Z,15.7668,120.9124,35.77,4.6,mb,,135,1.828,0.87,us,us200025ck,2015-04-09T19:16:55.228Z,"2km W of Magtanggol, Philippines",earthquake
2015-04-09T09:29:40.220Z,35.6441,-97.2441,5,2.8,mb_lg,,26,0.099,0.72,us,us200025bg,2015-04-09T12:39:02.188Z,"4km WSW of Luther, Oklahoma",earthquake
2015-04-09T09:19:17.030Z,36.2927,-97.546,5,3,mb_lg,,35,0.411,0.8,us,us200025bd,2015-04-09T17:21:55.388Z,"23km W of Perry, Oklahoma",earthquake
2015-04-09T09:18:49.000Z,60.2169,-152.3634,101.2,3,ml,,,,0.53,ak,ak11550045,2015-04-09T17:21:30.006Z,"36km SE of Redoubt Volcano, Alaska",earthquake
2015-04-09T08:35:36.650Z,40.4111667,-124.6175,20.32,2.55,md,36,234,0.2697,0.13,nc,nc72428841,2015-04-09T23:22:06.999Z,"35km WSW of Ferndale, California",earthquake
2015-04-09T08:13:53.890Z,0.1994,126.2693,40.77,4.9,mb,,55,1.235,0.8,us,us200025b7,2015-04-09T16:16:28.326Z,"138km WSW of Kota Ternate, Indonesia",earthquake
2015-04-09T07:21:24.130Z,51.7221,-173.0055,35.08,4.4,mb,,183,0.88,1.06,us,us200025ay,2015-04-09T19:10:26.933Z,"97km ESE of Atka, Alaska",earthquake
2015-04-09T06:50:22.000Z,59.8501,-153.1415,114.7,3.6,ml,,,,0.77,ak,ak11549998,2015-04-09T19:10:43.861Z,"73km W of Anchor Point, Alaska",earthquake
2015-04-09T06:31:46.600Z,18.0118,-63.6134,29,2.9,Md,3,320.4,1.03396089,0.28,pr,pr15099001,2015-04-09T14:34:21.588Z,"56km W of Marigot, Saint Martin",earthquake
2015-04-09T06:13:58.320Z,-50.4645,114.0573,10,4.9,mb,,123,15.964,0.4,us,us200025ad,2015-04-09T14:16:38.469Z,"Western Indian-Antarctic Ridge",earthquake
2015-04-09T03:39:46.000Z,60.4384,-152.1922,83.9,2.9,ml,,,,0.77,ak,ak11549945,2015-04-09T11:42:26.344Z,"30km E of Redoubt Volcano, Alaska",earthquake
2015-04-09T03:38:08.660Z,36.7062,-97.8245,3.93,3,mb_lg,,33,0.147,0.59,us,us2000259t,2015-04-09T15:50:08.275Z,"13km SW of Medford, Oklahoma",earthquake
2015-04-09T02:07:36.000Z,51.6567,-175.3098,25.7,4.4,ml,,,,0.61,ak,ak11549908,2015-04-09T10:10:10.717Z,"96km ESE of Adak, Alaska",earthquake
2015-04-09T01:54:05.670Z,36.7291667,-118.4933333,18.22,2.66,ml,27,105,0.387,0.22,ci,ci37359576,2015-04-12T09:36:19.068Z,"28km WSW of Independence, California",earthquake
2015-04-09T00:41:17.360Z,35.8488,-97.4381,4.48,2.5,mb_lg,,68,0.053,0.36,us,us2000257p,2015-04-09T01:19:03.335Z,"3km SSW of Guthrie, Oklahoma",earthquake
2015-04-09T00:14:12.200Z,19.7458,-66.019,43,3.4,Md,9,298.8,1.35016787,0.1,pr,pr15099000,2015-04-09T08:16:50.459Z,"141km N of San Juan, Puerto Rico",earthquake
2015-04-08T22:48:08.600Z,19.1728,-64.8233,40,3.2,Md,3,338.4,0.9638923,0.07,pr,pr15098005,2015-04-09T06:50:34.500Z,"86km NNW of Road Town, British Virgin Islands",earthquake
2015-04-08T22:42:51.630Z,1.6964,126.229,56.7,4.6,mb,,105,8.455,0.47,us,us2000256v,2015-04-09T06:45:34.336Z,"119km ENE of Bitung, Indonesia",earthquake
2015-04-08T21:56:19.400Z,18.7185,-66.9865,14,2.8,Md,8,262.8,0.27578279,0.09,pr,pr15098004,2015-04-09T05:58:52.231Z,"24km N of Isabela, Puerto Rico",earthquake
2015-04-08T21:14:28.000Z,60.0133,-153.4285,143,3.3,ml,,,,0.73,ak,ak11549557,2015-04-09T05:17:03.589Z,"64km SW of Redoubt Volcano, Alaska",earthquake
2015-04-08T20:59:26.576Z,41.8572,-119.6506,8.2927,2.71,ml,5,122.4,0.145,0.1303,nn,nn00489722,2015-04-10T00:23:58.040Z,"68km ESE of Lakeview, Oregon",earthquake
2015-04-08T20:51:59.990Z,35.8509,-97.425,5,4.3,mb_lg,,24,0.059,0.86,us,us2000255v,2015-04-11T05:41:16.315Z,"3km S of Guthrie, Oklahoma",earthquake
2015-04-08T20:47:35.100Z,35.8219,-97.424,4.722,3.1,mb_lg,,68,,0.64,us,us2000255s,2015-04-09T07:40:38.525Z,"6km S of Guthrie, Oklahoma",earthquake
2015-04-08T20:06:00.000Z,59.8066,-152.5415,196.6,2.6,ml,,,,0.34,ak,ak11549493,2015-04-09T04:08:34.536Z,"40km W of Anchor Point, Alaska",earthquake
2015-04-08T19:33:38.000Z,60.334,-153.5644,191.6,2.6,ml,,,,0.38,ak,ak11549443,2015-04-09T03:36:20.466Z,"48km WSW of Redoubt Volcano, Alaska",earthquake
2015-04-08T19:30:28.070Z,32.4111667,-115.2448333,6,4.03,ml,28,109,0.05156,0.47,ci,ci37359312,2015-04-13T22:41:33.792Z,"8km NW of Delta, B.C., Mexico",earthquake
2015-04-08T19:23:15.390Z,32.376,-115.2085,7.33,4.27,mw,26,117,0.09244,0.51,ci,ci37359304,2015-04-10T03:16:03.881Z,"3km NNW of Delta, B.C., Mexico",earthquake
2015-04-08T19:22:19.710Z,-56.0971,-24.4338,9.21,4.8,mb,,85,7.137,0.79,us,us20002537,2015-04-09T03:25:01.631Z,"183km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-04-08T18:44:33.330Z,-2.7124,140.3797,27.36,4.3,mb,,59,7.012,0.79,us,us2000252r,2015-04-09T02:47:11.734Z,"24km WSW of Abepura, Indonesia",earthquake
2015-04-08T18:04:39.440Z,23.3882,142.8673,9.54,5,mb,,74,3.743,0.6,us,us2000252f,2015-04-09T02:07:09.004Z,"219km SE of Iwo Jima, Japan",earthquake
2015-04-08T18:04:29.000Z,64.9484,-149.1164,15.3,2.5,ml,,,,0.79,ak,ak11549201,2015-04-09T02:07:12.508Z,"41km N of North Nenana, Alaska",earthquake
2015-04-08T17:37:17.300Z,36.6255,-97.6732,6.061,2.8,ml,,62,,0.76,us,us20002525,2015-04-10T00:19:37.654Z,"20km SSE of Medford, Oklahoma",earthquake
2015-04-08T17:09:07.000Z,63.1164,-150.718,120.2,3.7,ml,,,,0.74,ak,ak11549150,2015-04-10T00:10:54.040Z,"93km NNW of Talkeetna, Alaska",earthquake
2015-04-08T16:41:33.350Z,18.345,145.5149,467.05,4.4,mb,,36,2.001,0.72,us,us2000251i,2015-04-09T01:32:41.261Z,"37km NW of Pagan, Northern Mariana Islands",earthquake
2015-04-08T15:44:48.040Z,13.2582,-89.7112,60.35,5.1,mb,,67,0.631,1.11,us,us20002515,2015-04-09T01:35:01.812Z,"39km SSE of Acajutla, El Salvador",earthquake
2015-04-08T14:54:54.860Z,0.301,125.3611,69.57,4.4,mb,,110,2.059,0.74,us,us2000250w,2015-04-08T22:57:31.705Z,"117km ESE of Modayag, Indonesia",earthquake
2015-04-08T14:47:44.000Z,57.9244,-151.8976,40.5,3.2,ml,,,,0.98,ak,ak11549072,2015-04-08T18:24:33.451Z,"33km ENE of Kodiak, Alaska",earthquake
2015-04-08T14:01:18.400Z,35.8209,-97.414,4.727,2.7,ml,,60,,0.41,us,us2000250n,2015-04-08T21:36:30.854Z,"6km S of Guthrie, Oklahoma",earthquake
2015-04-08T13:52:07.420Z,16.2684,-98.3727,10,4.5,mb,,197,1.3,0.79,us,us20002506,2015-04-08T21:54:47.166Z,"22km SSE of Cuajinicuilapa, Mexico",earthquake
2015-04-08T13:49:36.830Z,-6.1304,130.4016,151.08,4.6,mb,,72,2.044,0.77,us,us20002504,2015-04-08T21:52:19.844Z,"225km NNW of Saumlaki, Indonesia",earthquake
2015-04-08T13:33:35.430Z,35.3613,27.7396,37.35,4.4,mb,,106,0.507,0.87,us,us200024zz,2015-04-08T21:36:38.530Z,"50km ESE of Karpathos, Greece",earthquake
2015-04-08T13:07:55.000Z,58.2876,-151.2572,47.9,2.6,ml,,,,0.7,ak,ak11549035,2015-04-08T21:10:34.938Z,"87km NE of Kodiak, Alaska",earthquake
2015-04-08T13:07:36.600Z,19.3923,-155.2463,2.7,2.5,Ml,,43.2,0.01796631,0.09,hv,hv60889991,2015-04-12T20:54:46.040Z,"4km SSW of Volcano, Hawaii",earthquake
2015-04-08T12:47:04.440Z,-14.6542,167.3874,143.39,4.4,mb,,111,0.808,0.6,us,us200024zs,2015-04-08T20:50:12.055Z,"56km NE of Port-Olry, Vanuatu",earthquake
2015-04-08T12:07:39.800Z,19.393,-155.2757,2.7,2.5,Ml,,43.2,0,0.11,hv,hv60889966,2015-04-08T21:10:58.248Z,"5km SW of Volcano, Hawaii",earthquake
2015-04-08T10:29:52.280Z,-19.2734,-69.272,109.13,4.5,mb,,47,0.336,1.19,us,us200024za,2015-04-08T18:32:21.521Z,"122km SSE of Putre, Chile",earthquake
2015-04-08T09:47:16.440Z,-13.2627,-112.4561,10,4.7,mb,,111,14.1,0.72,us,us200024z8,2015-04-08T17:49:44.747Z,"Central East Pacific Rise",earthquake
2015-04-08T09:27:40.420Z,16.2381,-98.6313,35,4.1,mb,,205,1.318,0.78,us,us200024z1,2015-04-08T17:30:14.100Z,"33km SSE of Tecoanapa, Mexico",earthquake
2015-04-08T08:37:30.600Z,18.8936,-65.3095,30,2.9,Md,11,262.8,0.58300662,0.28,pr,pr15098002,2015-04-08T16:40:11.525Z,"65km N of Culebra, Puerto Rico",earthquake
2015-04-08T08:25:20.130Z,40.4305,-125.161,23.48,3.06,ml,35,259,0.6256,0.28,nc,nc72428276,2015-04-09T04:43:04.473Z,"77km WSW of Ferndale, California",earthquake
2015-04-08T08:20:45.850Z,-7.3032,129.7827,112.2,4.6,mb,,48,1.647,1.15,us,us200024yk,2015-04-08T16:23:15.664Z,"183km WNW of Saumlaki, Indonesia",earthquake
2015-04-08T06:23:48.120Z,37.8263333,-121.7755,17.09,2.56,md,123,61,0.02678,0.17,nc,nc72428201,2015-04-09T05:17:49.263Z,"11km SSW of Brentwood, California",earthquake
2015-04-08T05:56:08.970Z,-6.721,129.8509,181.93,4.6,mb,,153,1.906,1.19,us,us200024y8,2015-04-08T13:58:48.258Z,"211km NW of Saumlaki, Indonesia",earthquake
2015-04-08T05:06:43.720Z,39.3606667,-120.0208333,1.54,3.41,mw,17,75,0.1146,0.05,nc,nc72428161,2015-04-13T23:13:37.000Z,"12km NNW of Incline Village, Nevada",earthquake
2015-04-08T03:42:13.880Z,-8.9445,-109.0463,10,5.1,mb,,149,18.087,0.93,us,us200024xr,2015-04-08T11:44:54.630Z,"Central East Pacific Rise",earthquake
2015-04-08T03:32:09.310Z,36.2769,-97.5254,2.44,2.8,mb_lg,,61,0.433,0.55,us,us200024xm,2015-04-08T11:34:44.018Z,"21km W of Perry, Oklahoma",earthquake
2015-04-08T03:27:00.380Z,9.2582,57.4904,10,4.2,mb,,241,4.726,0.54,us,us200024xp,2015-04-08T11:29:43.803Z,"Carlsberg Ridge",earthquake
2015-04-08T03:15:48.480Z,36.2683,-97.2798,5,3,mb_lg,,25,0.472,0.59,us,us200024xj,2015-04-08T21:18:20.256Z,"2km SSE of Perry, Oklahoma",earthquake
2015-04-08T03:14:32.290Z,-4.4367,137.7837,9.33,4.4,mb,,143,5.725,0.87,us,us200024xk,2015-04-08T11:17:15.798Z,"169km ESE of Enarotali, Indonesia",earthquake
2015-04-08T02:48:01.250Z,31.5926667,-115.991,6.52,2.6,ml,7,182,0.2675,0.26,ci,ci37358800,2015-04-08T17:29:48.659Z,"56km ESE of Maneadero, B.C., Mexico",earthquake
2015-04-08T02:12:04.000Z,62.2632,-153.5337,0.6,2.5,ml,,,,1.01,ak,ak11548854,2015-04-08T10:14:40.116Z,"131km SE of McGrath, Alaska",earthquake
2015-04-08T02:04:09.300Z,36.6415,-97.6816,6.682,2.6,ml,,59,,0.59,us,us2000254e,2015-04-09T01:49:54.563Z,"18km SSE of Medford, Oklahoma",earthquake
2015-04-08T01:53:02.000Z,61.156,-152.7106,15.2,2.6,ml,,,,1.2,ak,ak11548847,2015-04-08T09:55:31.953Z,"74km N of Redoubt Volcano, Alaska",earthquake
2015-04-08T01:47:52.130Z,36.1966,-97.0372,5,3.1,mb_lg,,34,0.267,0.3,us,us200024ww,2015-04-11T00:11:37.050Z,"9km NNE of Stillwater, Oklahoma",earthquake
2015-04-08T01:43:48.200Z,21.8088,89.5396,19.61,4.6,mb,,71,4.301,0.82,us,us200024wx,2015-04-08T09:46:32.369Z,"61km SSW of Sarankhola, Bangladesh",earthquake
2015-04-08T01:42:12.360Z,36.2867,-97.5117,5,3,mb_lg,,38,0.438,0.58,us,us200024wv,2015-04-09T03:34:16.695Z,"20km W of Perry, Oklahoma",earthquake
2015-04-08T01:37:31.200Z,18.8337,-67.9302,24,3.2,Md,11,324,0.8578911,0.25,pr,pr15098000,2015-04-08T09:40:33.607Z,"57km ENE of Punta Cana, Dominican Republic",earthquake
2015-04-08T01:01:33.500Z,36.9443,-97.6247,6.882,2.6,ml,,58,,0.52,us,us20002512,2015-04-09T01:50:56.266Z,"9km S of Caldwell, Kansas",earthquake
2015-04-07T23:51:25.400Z,33.5156,132.5706,53.56,4.3,mb,,144,1.11,0.8,us,us200024wm,2015-04-08T07:36:21.841Z,"2km NE of Ozu, Japan",earthquake
2015-04-07T23:36:14.500Z,-1.6089,135.3074,26.94,4.1,mb,,187,3.321,0.43,us,us200024wj,2015-04-08T07:39:00.079Z,"159km ESE of Manokwari, Indonesia",earthquake
2015-04-07T22:42:25.100Z,-1.8048,135.3697,31.23,4.9,mb,,72,3.308,1.3,us,us200024vt,2015-04-08T06:45:03.051Z,"173km N of Nabire, Indonesia",earthquake
2015-04-07T22:10:14.430Z,36.4909,-97.1763,2.78,3,mb_lg,,57,0.272,0.34,us,us200024v1,2015-04-08T21:22:22.602Z,"24km SSE of Tonkawa, Oklahoma",earthquake
2015-04-07T21:44:34.170Z,24.8685,141.5734,109.26,4.5,mb,,122,2.285,1.14,us,us200024us,2015-04-08T05:47:36.802Z,"26km ENE of Iwo Jima, Japan",earthquake
2015-04-07T21:21:24.340Z,36.8498,-98.1957,5,3.2,mb_lg,,92,0.047,0.6,us,us200024u6,2015-04-08T05:24:08.081Z,"17km NE of Cherokee, Oklahoma",earthquake
2015-04-07T20:57:06.000Z,53.6197,-164.034,17.3,3.3,ml,,,,0.69,us,us200024xe,2015-04-09T21:37:47.333Z,"127km ESE of Akutan, Alaska",earthquake
2015-04-07T20:43:20.370Z,-6.9523,129.7961,144,4.3,mb,,68,1.807,1.03,us,us200024tn,2015-04-09T21:26:07.241Z,"200km WNW of Saumlaki, Indonesia",earthquake
2015-04-07T20:30:53.000Z,18.3045,-67.7331,171,3.4,Md,13,316.8,0.61175271,0.21,pr,pr15097003,2015-04-09T21:09:14.040Z,"51km W of Rincon, Puerto Rico",earthquake
2015-04-07T20:11:18.100Z,35.8212,-97.4378,5,2.5,mb_lg,,68,,0.7,us,us200024un,2015-04-09T20:45:51.642Z,"6km S of Guthrie, Oklahoma",earthquake
2015-04-07T20:09:55.000Z,60.4391,-142.1108,24.3,3.2,ml,,,,1.12,ak,ak11548622,2015-04-08T04:12:39.179Z,"45km NNE of Cape Yakataga, Alaska",earthquake
2015-04-07T20:09:54.000Z,60.6566,-142.5345,3.4,2.9,ml,,,,0.79,ak,ak11548617,2015-04-09T20:32:00.040Z,"70km N of Cape Yakataga, Alaska",earthquake
2015-04-07T17:25:12.000Z,36.3306,-97.525,6.866,3.5,mwr,,58,,0.64,us,us10001vfd,2015-04-09T20:28:01.527Z,"21km WNW of Perry, Oklahoma",earthquake
2015-04-07T17:07:24.580Z,36.5144,71.2762,79.19,4.7,mb,,73,0.829,1.18,us,us10001vf9,2015-04-08T22:01:32.343Z,"29km SW of Ashkasham, Afghanistan",earthquake
2015-04-07T16:47:28.300Z,36.5044,-99.0371,7.802,2.9,ml,,237,,0.71,us,us10001vf4,2015-04-07T20:37:33.359Z,"16km ENE of Mooreland, Oklahoma",earthquake
2015-04-07T16:19:58.230Z,-6.7642,129.7168,158.84,4,mb,,86,1.981,0.54,us,us10001vew,2015-04-08T00:22:55.519Z,"219km NW of Saumlaki, Indonesia",earthquake
2015-04-07T14:54:44.150Z,43.1465,-126.3043,10,4.2,mwr,,178,2.519,0.99,us,us10001vcb,2015-04-07T22:57:13.520Z,"154km W of Bandon, Oregon",earthquake
2015-04-07T14:17:05.570Z,-1.642,135.4005,27.22,4.2,mb,,187,3.395,0.72,us,us10001vc4,2015-04-07T22:19:34.102Z,"169km ESE of Manokwari, Indonesia",earthquake
2015-04-07T14:00:19.950Z,5.4563,-76.6177,85.14,4.5,mb,,98,2.366,0.87,us,us10001vc2,2015-04-07T22:02:49.740Z,"8km WSW of Lloro, Colombia",earthquake
